panel,method,state,angle_deg,value
"MR-GW(8,6)","MR-GW(8,6)",B_2,122.0,12.44
"MR-GW(8,6)","MR-GW(8,6)",B_2,126.0,12.5
"MR-GW(8,6)","MR-GW(8,6)",B_2,130.0,12.54
"MR-GW(8,6)","MR-GW(8,6)",B_2,134.0,12.56
"MR-GW(8,6)","MR-GW(8,6)",B_2,138.0,12.55
"MR-GW(8,6)","MR-GW(8,6)",B_2,142.0,12.53
"MR-GW(8,6)","MR-GW(8,6)",B_2,146.0,12.47
"MR-GW(8,6)","MR-GW(8,6)",A_2,90.0,12.57
"MR-GW(8,6)","MR-GW(8,6)",A_2,94.0,12.7
"MR-GW(8,6)","MR-GW(8,6)",A_2,98.0,12.81
"MR-GW(8,6)","MR-GW(8,6)",A_2,102.0,12.9
"MR-GW(8,6)","MR-GW(8,6)",A_2,106.0,12.97
"MR-GW(8,6)","MR-GW(8,6)",A_2,110.0,13.02
"MR-GW(8,6)","MR-GW(8,6)",A_2,114.0,13.06
